movie_title,comb
the godsend,drama horror gabrielle beaumont malcolm stoddard  cyd hayman  angela pleasence
sex hunter,drama toshiharu ikeda erina miyai  ayako ota  teruo matsuyama
rad na odredjeno vreme,comedy milan jelic ljubisa samardzic  milena dravic  velimir 'bata' zivojinovic
foolin' around,comedy romance sport richard t. heffron gary busey  annette o'toole  john calvin
sunday lovers,comedy drama romance bryan forbes édouard molinaro dino risi gene wilder roger moore  lino ventura  ugo tognazzi
dr. heckyl and mr. hype,comedy drama horror charles b. griffith oliver reed  sunny johnson  maia danziger
xie,crime fantasy horror chih-hung kuei ni tien  jung wang  szu-chia chen
beyond evil,horror herb freed john saxon  lynda day george  michael dante
the gong show movie,comedy chuck barris chuck barris  robin altman  brian o'mullin
la cage aux folles ii,comedy édouard molinaro michel serrault  ugo tognazzi  marcel bozzuffi
middle age crazy,comedy drama john trent bruce dern  ann-margret  graham jarvis
primitif,adventure horror sisworo gautama putra enny haryono  barry prima  johann mardjono
pasión prohibida,drama amando de ossorio susana estrada  emilio álvarez  lynn endersson
de witte,drama robbe de hert eric clerckx  blanka heirman  willy vandermeulen
the beasts' carnival,horror crime paul naschy paul naschy  eiko nagashima  lautaro murúa
crazy thunder road,action gakuryû ishii tatsuo yamada  masamitsu ohike  kôji nanjô
the falls,comedy sci-fi peter greenaway peter westley  aad wirtz  michael murray
o convite ao prazer,drama walter hugo khouri sandra bréa  roberto maya  helena ramos
hide in plain sight,drama james caan james caan  jill eikenberry  robert viharo
running scared,action adventure drama paul glickler ken wahl  judge reinhold  annie mcenroe
the kidnapping of the president,thriller george mendeluk william shatner  hal holbrook  van johnson
witches' brew,comedy horror richard shorr herbert l. strock teri garr  richard benjamin  lana turner
la femme enfant,drama raphaële billetdoux klaus kinski  pénélope palmer  michel robin
la moglie in vacanza... l'amante in città,comedy sergio martino edwige fenech  barbara bouchet  renzo montagnani
"ta gueule, je t'aime!",comedy serge korber henri czarniak  michèle perello  pierre danny
silver dream racer,action drama sport david wickes david essex  beau bridges  cristina raines
the baltimore bullet,comedy crime drama robert ellis miller james coburn  omar sharif  ronee blakley
"those lips, those eyes",comedy romance michael pressman frank langella  glynnis o'connor  tom hulce
pick-up summer,comedy george mihalka michael zelniker  carl marotte  karen stephen
pensieri morbosi,drama jacques orth jean-pierre armand  raf baldassarre  guy bonnafoux
abdullah,action drama romance sanjay khan raj kapoor  sanjay khan  sanjeev kumar
detik 12 malam,drama thriller s. sudarmadji sarimah  mustapha maarof  yusof haslam
the american success company,comedy drama william richert jeff bridges  belinda bauer  ned beatty
george and mildred,comedy peter frazer-jones yootha joyce  brian murphy  stratford johns
nefeli,romance omiros efstratiadis rosana caskan  alejandra grepi  tania moshito
le guignolo,comedy action georges lautner jean-paul belmondo  georges géret  carla romanelli
the return of josey wales,western michael parks michael parks  rafael campos  everett sifuentes
the last hunter,action drama thriller antonio margheriti david warbeck  tisa farrow  tony king
bye bye brazil,drama carlos diegues josé wilker  betty faria  fábio jr.
ninja bugeicho momochi sandayu,action adventure drama norifumi suzuki shin'ichi chiba  hiroyuki sanada  etsuko shihomi
picardía mexicana: número dos,comedy drama rafael villaseñor kuri vicente fernández  héctor suárez  eduardo de la peña
sverige åt svenskarna,comedy history war per oscarsson per oscarsson  ernst günther  georg adelly
dolce... calda lisa,drama adriano tagliavia luigina rocchi  francesco parisi  maruska ferretti
a few days from the life of i.i. oblomov,comedy drama history nikita mikhalkov oleg tabakov  yuriy bogatyryov  elena solovey
and next year at lake balaton,adventure comedy herrmann zschoche gudrun ritter  peter bause  fred delmare
doraemon: nobita's dinosaur,animation adventure family hiroshi fukutomi nobuyo ôyama  noriko ohara  michiko nomura
b.c. rock,animation adventure comedy picha richard darbois  georges aminel  roger carel
the inheritance,drama romance war márta mészáros isabelle huppert  lili monori  jan nowicki
sono fotogenico,comedy dino risi renato pozzetto  edwige fenech  aldo maccione
terror on tour,crime horror music don edmonds rick styles  chip greenman  rich pemberton
second-hand hearts,comedy hal ashby robert blake  barbara harris  collin boone
fabian,drama wolf gremm hans peter hallwachs  hermann lause  silvia janisch
hog wild,comedy les rose patti d'arbanville  michael biehn  tony rosato
girls will be girls,comedy mariano laurenti anna maria rizzoli  gianfranco d'angelo  enzo cannavale
cataclysm,horror phillip marshak tom mcgowan gregg g. tallas cameron mitchell  marc lawrence  faith clift
madicken på junibacken,comedy drama family göran graffman jonna liljendahl  liv alsterlund  monica nordquist
la banquière,comedy drama francis girod romy schneider  jean-louis trintignant  marie-france pisier
we're going to eat you,action comedy horror hark tsui norman chu  eddy ko  melvin wong
fantozzi contro tutti,comedy neri parenti paolo villaggio paolo villaggio  gigi reder  camillo milli
sweet william,drama romance claude whatham sam waterston  jenny agutter  anna massey
cheaper to keep her,comedy ken annakin mac davis  tovah feldshuh  bruce flanders
dangerous encounters of the first kind,action crime thriller hark tsui lieh lo  chen-chi lin  albert au
a bad son,drama claude sautet patrick dewaere  brigitte fossey  jacques dufilho
the battle of port arthur,drama history war toshio masuda tatsuya nakadai  teruhiko aoi  toshirô mifune
une semaine de vacances,drama bertrand tavernier nathalie baye  gérard lanvin  flore fitzgerald
"ion: blestemul pamîntului, blestemul iubirii",drama history mircea muresan serban ionescu  ioana craciunescu  sorina stanculescu
the good thief,comedy pasquale festa campanile enrico montesano  edwige fenech  bernadette lafont
